kunta_nro,kunta_nimi,Maakunta
420,Leppävirta,Pohjois-Savo
421,Lestijärvi,Keski-Pohjanmaa
422,Lieksa,Pohjois-Karjala
423,Lieto,Varsinais-Suomi
425,Liminka,Pohjois-Pohjanmaa
426,Liperi,Pohjois-Karjala
444,Lohja,Uusimaa
430,Loimaa,Varsinais-Suomi
433,Loppi,Kanta-Häme
434,Loviisa,Uusimaa
435,Luhanka,Keski-Suomi
436,Lumijoki,Pohjois-Pohjanmaa
438,Lumparland,Ahvenanmaa
440,Luoto,Pohjanmaa
441,Luumäki,Etelä-Karjala
475,Maalahti,Pohjanmaa
478,Maarianhamina,Ahvenanmaa
480,Marttila,Varsinais-Suomi
481,Masku,Varsinais-Suomi
483,Merijärvi,Pohjois-Pohjanmaa
484,Merikarvia,Satakunta
489,Miehikkälä,Kymenlaakso
491,Mikkeli,Etelä-Savo
494,Muhos,Pohjois-Pohjanmaa
495,Multia,Keski-Suomi
498,Muonio,Lappi
499,Mustasaari,Pohjanmaa
500,Muurame,Keski-Suomi
503,Mynämäki,Varsinais-Suomi
504,Myrskylä,Uusimaa
505,Mäntsälä,Uusimaa
508,Mänttä-Vilppula,Pirkanmaa
507,Mäntyharju,Etelä-Savo
529,Naantali,Varsinais-Suomi
531,Nakkila,Satakunta
535,Nivala,Pohjois-Pohjanmaa
536,Nokia,Pirkanmaa
538,Nousiainen,Varsinais-Suomi
541,Nurmes,Pohjois-Karjala
543,Nurmijärvi,Uusimaa
545,Närpiö,Pohjanmaa
560,Orimattila,Päijät-Häme
561,Oripää,Varsinais-Suomi
562,Orivesi,Pirkanmaa
563,Oulainen,Pohjois-Pohjanmaa
564,Oulu,Pohjois-Pohjanmaa
309,Outokumpu,Pohjois-Karjala
576,Padasjoki,Päijät-Häme
577,Paimio,Varsinais-Suomi
578,Paltamo,Kainuu
445,Parainen,Varsinais-Suomi
580,Parikkala,Etelä-Karjala
581,Parkano,Pirkanmaa
599,Pedersören kunta,Pohjanmaa
583,Pelkosenniemi,Lappi
854,Pello,Lappi
584,Perho,Keski-Pohjanmaa
588,Pertunmaa,Etelä-Savo
592,Petäjävesi,Keski-Suomi
593,Pieksämäki,Etelä-Savo
595,Pielavesi,Pohjois-Savo
598,Pietarsaari,Pohjanmaa
601,Pihtipudas,Keski-Suomi
604,Pirkkala,Pirkanmaa
607,Polvijärvi,Pohjois-Karjala
608,Pomarkku,Satakunta
609,Pori,Satakunta
611,Pornainen,Uusimaa
638,Porvoo,Uusimaa
614,Posio,Lappi
615,Pudasjärvi,Pohjois-Pohjanmaa
616,Pukkila,Uusimaa
619,Punkalaidun,Pirkanmaa
620,Puolanka,Kainuu
623,Puumala,Etelä-Savo
624,Pyhtää,Kymenlaakso
625,Pyhäjoki,Pohjois-Pohjanmaa
626,Pyhäjärvi,Pohjois-Pohjanmaa
630,Pyhäntä,Pohjois-Pohjanmaa
631,Pyhäranta,Varsinais-Suomi
635,Pälkäne,Pirkanmaa
636,Pöytyä,Varsinais-Suomi
678,Raahe,Pohjois-Pohjanmaa
710,Raasepori,Uusimaa
680,Raisio,Varsinais-Suomi
681,Rantasalmi,Etelä-Savo
683,Ranua,Lappi
684,Rauma,Satakunta
686,Rautalampi,Pohjois-Savo
687,Rautavaara,Pohjois-Savo
689,Rautjärvi,Etelä-Karjala
691,Reisjärvi,Pohjois-Pohjanmaa
694,Riihimäki,Kanta-Häme
697,Ristijärvi,Kainuu
698,Rovaniemi,Lappi
700,Ruokolahti,Etelä-Karjala
702,Ruovesi,Pirkanmaa
704,Rusko,Varsinais-Suomi
707,Rääkkylä,Pohjois-Karjala
729,Saarijärvi,Keski-Suomi
732,Salla,Lappi
734,Salo,Varsinais-Suomi
736,Saltvik,Ahvenanmaa
790,Sastamala,Pirkanmaa
738,Sauvo,Varsinais-Suomi
739,Savitaipale,Etelä-Karjala
740,Savonlinna,Etelä-Savo
742,Savukoski,Lappi
743,Seinäjoki,Etelä-Pohjanmaa
746,Sievi,Pohjois-Pohjanmaa
747,Siikainen,Satakunta
748,Siikajoki,Pohjois-Pohjanmaa
791,Siikalatva,Pohjois-Pohjanmaa
749,Siilinjärvi,Pohjois-Savo
751,Simo,Lappi
753,Sipoo,Uusimaa
755,Siuntio,Uusimaa
758,Sodankylä,Lappi
759,Soini,Etelä-Pohjanmaa
761,Somero,Varsinais-Suomi
762,Sonkajärvi,Pohjois-Savo
765,Sotkamo,Kainuu
766,Sottunga,Ahvenanmaa
768,Sulkava,Etelä-Savo
771,Sund,Ahvenanmaa
777,Suomussalmi,Kainuu
778,Suonenjoki,Pohjois-Savo
781,Sysmä,Päijät-Häme
783,Säkylä,Satakunta
831,Taipalsaari,Etelä-Karjala
832,Taivalkoski,Pohjois-Pohjanmaa
833,Taivassalo,Varsinais-Suomi
834,Tammela,Kanta-Häme
837,Tampere,Pirkanmaa
844,Tervo,Pohjois-Savo
845,Tervola,Lappi
846,Teuva,Etelä-Pohjanmaa
848,Tohmajärvi,Pohjois-Karjala
849,Toholampi,Keski-Pohjanmaa
850,Toivakka,Keski-Suomi
851,Tornio,Lappi
853,Turku,Varsinais-Suomi
857,Tuusniemi,Pohjois-Savo
858,Tuusula,Uusimaa
859,Tyrnävä,Pohjois-Pohjanmaa
886,Ulvila,Satakunta
887,Urjala,Pirkanmaa
889,Utajärvi,Pohjois-Pohjanmaa
890,Utsjoki,Lappi
892,Uurainen,Keski-Suomi
893,Uusikaarlepyy,Pohjanmaa
895,Uusikaupunki,Varsinais-Suomi
785,Vaala,Pohjois-Pohjanmaa
905,Vaasa,Pohjanmaa
908,Valkeakoski,Pirkanmaa
92,Vantaa,Uusimaa
911,Valtimo,Pohjois-Karjala
915,Varkaus,Pohjois-Savo
918,Vehmaa,Varsinais-Suomi
921,Vesanto,Pohjois-Savo
922,Vesilahti,Pirkanmaa
924,Veteli,Keski-Pohjanmaa
925,Vieremä,Pohjois-Savo
927,Vihti,Uusimaa
931,Viitasaari,Keski-Suomi
934,Vimpeli,Etelä-Pohjanmaa
935,Virolahti,Kymenlaakso
936,Virrat,Pirkanmaa
941,Vårdö,Ahvenanmaa
946,Vöyri,Pohjanmaa
976,Ylitornio,Lappi
977,Ylivieska,Pohjois-Pohjanmaa
980,Ylöjärvi,Pirkanmaa
981,Ypäjä,Kanta-Häme
989,Ähtäri,Etelä-Pohjanmaa
992,Äänekoski,Keski-Suomi
